type_location,adresse,prix_par_mois,details,description,supplements
Location Appartement,Melun (77000),1.105 €,3 pièces 2 chambres 70 m²,"Appartement Coup de coeur !

Charmant T3 bis, meublé et entièrement équipé (vaisselle, linge de maison, etc.), de 70m2 au sol et 55m2 loi Carrez, 2 belles chambres ainsi qu'une grande mezzanine de 20m2, salle de douche/wc, cuisine équipée et aménagée (machine à laver, four, plaques de cuisson, lave vaisselle, réfrigérateur, micro-ondes, machine à café, vaisselle).

Belle hauteur sous plafond et poutres apparentes, très lumineux. Au troisième et dernier étage, calme et sans vis à vis, bonne isolation thermique. Immeuble raccordé à la fibre.

Avenue Thiers, à 5 min à pied de la Gare de Melun : Paris Gare de Lyon à 30 min porte à porte.
Proche de toutes commodités, tous bus, et à 10 min à pieds du centre ville de Melun.

A visiter absolument.

Libre dès à présent.
Loyer 1105€/mois charges comprises.
(Possibilité de colocation : 555€ par chambre, provisions de charges locatives comprises).

Dépôt de garantie 2090€.

Conditions d'étude de candidatures :

- Garantie Visale couvrant le montant du loyer ou ;
- CDI, hors période d'essai ou de préavis : 2,7 fois le montant du loyer ou ;
- CDD durée restante du contrat supérieure à 8 mois : 2,7 fois le montant du loyer ou ;
- CDD durée restante du contrat entre 2 et 8 mois : 3 fois le montant du loyer.

Étudiant ou apprenti : caution solidaire obligatoire répondant aux critères de candidature.",| Melun| Le Mée| Livry-sur-Seine
Location Appartement,Bagnolet (93170),730 €,1 pièce 25 m²,"Agréable et lumineux logement traversant, fraîchement rénové, composé d’un séjour et d’une cuisine avec plaque induction et hotte.
Ce rajoute une salle de bains et un wc séparé.

Ce logement est situé au 163 avenue de la Dhuys.
93170 Bagnolet.
Dossier complet demandé lors de la visite.
Loyer 690 E/mois + 40 E charges.",| Mairie des Lilas| Adrienne Bolland| Porte des Lilas
Location Appartement,Noisy-le-Grand (93160),1.064 €,2 pièces 1 chambre 64 m²,"Location atypique et exceptionnelle.
Idéal pour un artiste peintre ou sculpteur.
Deux-pièces avec un espace atelier, au rez-de-chaussée.

Surface habitable atelier compris 64.5m² loi Carrez.
La location comprend en plus un grenier de 5.60m², la jouissance privative d'un jardin de 73m² et une place de parking.",| Noisy-le-Grand - Mont d’Est| Bry-sur-Marne| Neuilly-Plaisance
Location Appartement,Paris 11e (75011),710 €,1 pièce 18 m²,"Métros Charonne / Philippe Auguste, dans un des passages typiques du 11ème. Immeuble donnant sur un square, au 3ème étage sans ascenseur. T1 en très bon état, meublé moderne, de 18 m² composé d'une pièce principale avec canapé lit, une cuisine et une salle d'eau indépendante.
Lumineux, fonctionnel, calme absolu, sans vis-à-vis, double vitrage, porte blindée, immeuble avec digicode.

Loyer : 710 E/mois charges comprises.

Merci de bien vouloir m'envoyer un mail pour prendre rendez-vous pour une visite.",| Philippe Auguste| Charonne| Alexandre Dumas
Location Appartement,Juvisy-sur-Orge (91260),977 €,3 pièces 2 chambres 54 m²,"Appartement T3 de 54 m2 à Juvisy (quartier Seine) à 5 min à pied des RER C et D.

Appartement non meublé de 54 m2, au 1er étage, composé de 3 pièces principales :
- 1 séjour de 16 m2
- 2 chambres de 10 et 13 m2
- 1 cuisine équipée comprenant une cuisinière Indésit avec table de cuisson à induction 3 feux et four électrique multifonction, un évier inox double cuve avec robinet mitigeur, une hotte aspirante, des meubles haut et bas, une petite table et une vmc. Emplacements et raccordements disponibles pour machine à laver et sèche-linge.
- 1 salle de bain avec baignoire (robinet thermostatique), meuble miroir avec lavabo, wc et vmc.
- Porte blindée 3 points
- Boîtier fibre optique installé dans l’appartement.
Proche tous commerces. A 5 min à pieds de la gare de Juvisy et des RER C et D permettant un accès rapide à Paris (12 min pour « Bibliothèque »), Evry ou Massy. A 5 min également de la base régionale de loisirs du Port aux Cerises et de ses activités sportives.
Loyer 807 €/mois + charges 170 € (incluant chauffage collectif et eau chaude et froide), soit un total mensuel de 977 €.
Possibilité de place de stationnement privative avec barrière individuelle (+ 32 €).
Disponible à partir du 6 octobre 2022. Bail de 3 ans renouvelable, dépôt de garantie de 1 mois et caution demandée (parentale ou Visale).
L'appartement est situé dans une petite résidence composée de 2 maisons (1 maison individuelle et 3 T3) et d'un petit immeuble de 2006 comprenant 11 studios et T1.
La plupart des commerces (Intermarché, Franprix, boulangeries, épicerie, librairie, pharmacies, restauration rapide, auto-école, ...) sont situés à quelques minutes à pied. Une crèche est située à coté de la résidence.
Un parc public (parc Argeliès) est situé derrière l'immeuble et la base de loisirs du Port aux cerises est à 10 min à pied.",| Juvisy-sur-Orge| Viry-Châtillon| Savigny-sur-Orge
Location Maison,Châtenay-Malabry (92290),2.000 €,6 pièces 4 chambres 135 m² Terrain 80 m²,"Maison de ville / Appartement de 135 m² entièrement rénovée en 2016, située au fond d'une impasse dans un quartier résidentiel et calme à proximité du groupe scolaire Sophie Barat, elle se compose :
Au rez-de-chaussée : d'une entrée, d'un vestiaire, de toilettes (avec un espace de rangement) d'un double séjour et d'une cuisine ;
A l'étage : 2 chambres avec deux salles de bains (et toilettes) et 2 chambres avec deux salles d'eau (et toilettes).
Garage : possibilité de garer 2 à 3 véhicules + espace buanderie.
Terrasse et jardin d'une surface d'environ 80 m².

Afin d'être réactifs, nous vous remercions de nous indiquer votre situation à
- Revenu(s) net(s)
- Type(s) de contrat.

Loyer : 2000 E/mois (les charges sont individuelles).",| Antony| Les Baconnets| Fontaine-Michalon
Location Appartement,Vitry-sur-Seine (94400),1.697 €,3 pièces 2 chambres 67 m²,"A 10 min du RER C de Vitry sur seine et à 10 min en bus du métro 7 Villejuif, proche des commerces, école.

Appartement en duplex de 67 m², dans un immeuble neuf, construit en 2016, meublé de qualité avec une décoration soignée comprenant : Au 1er étage : un séjour avec une belle cuisine lumineuse entièrement aménagée et équipée : - réfrigérateur, congélateur, four, plaque induction, hotte, lave-vaisselle.
- tous les ustensiles nécessaires dont vous pourriez avoir besoin (assiettes, couverts, verres, etc…)
- une salle d'eau moderne avec toilette : douche à l'italienne, miroir, lave-linge
- un placard à l'entrée.

Au rez-du-jardin : - 2 chambres donnant sur le jardin : de 12 m² et de 11m2
- des placards de rangement
- un dressing
- un dégagement
- une salle de bains avec baignoire avec un placard.

Un jardin.

Un parking au sol.

Loyer : 1.697 E/mois charges comprises (chauffage à gaz individuel, eau froide et eau chaude, taxes ordures ménagères).

DISPONIBLE A PARTIR DU 1 ER FEVRIER 2023

Nous privilégions un premier contact par mail afin de mieux étudier votre candidature. Si vous êtes intéressés, merci de nous envoyer une description de votre profil (situation, revenus, …).",| Vitry-sur-Seine| Les Ardoines| Maisons-Alfort-Alfortville
Location Appartement,Le Perreux-sur-Marne (94170),2.395 €,4 pièces 3 chambres 95 m²,"En plein centre ville du Perreux, au pied des commerces et à 15 min du RER E Nogent/Le perreux, sur l'Avenue du général de Gaulle,
En rez de jardin d'un ancien hôtel particulier réhabilité.
Magnifique 4 pièces en duplex de 95 m2 entièrement refait neuf avec jardin privatif de 30 m² comprenant :
un beau séjour de 30 m² avec cuisine us d'angle aménagée, 3 chambres donnant sur jardin dont une suite parentale de 20 m2, une salle de bains, une salle d'eau, un wc séparés.
Le tout clair, calme.

Faire vite, très beau produit !!

Loyer : 2395€",| Les Boullereux Champigny| Bry-sur-Marne| Nogent le Perreux
Location Appartement,Courbevoie (92400),2.500 €,3 pièces 2 chambres 89 m²,"3 pièces en duplex avec terrasses privatives de 89m2 au 3ème étage d'une résidence récente avec ascenseur comprenant : une entrée, un beau séjour, une cuisine indépendante aménagée et semi équipée, deux chambres, et une salle de bains avec wc.

Loyer : 2 500 € charges comprises dont 208 € de provision sur charges, avec régularisation annuelle
Dépôt de garantie : 2 292 €
92400 Courbevoie
Surface habitable : 89 m2.",| Courbevoie| Faubourg de l'Arche| Les Fauvelles
Location Appartement,Paris 13e (75013),600 €,1 pièce 1 chambre 10 m²,"Location meublée 1 pièce. Idéal Étudiant/Jeune actif / Bureau- Paris. Porte d'Ivry.
600 E/mois charges et toutes factures comprises, eau, EDF, internet, chauffage, ménage.

Lumineuse chambre meublée de 11m2 avec salle de bains privative , dans un grand appartement au 17e étage avec une belle vue dégagée sur Paris. La chambre ferme à clé.
Belle cuisine équipée (frigo, plaques à induction, micro-ondes, machine à laver et sèche linge)
2 wcs séparés.

Prestation de qualité : ménage hebdomadaire des parties communes,
Internet par la fibre, gardien d immeuble 24h/24h.

Métro Porte d'Ivry ligne 7 et tramway au pied de l'immeuble. A 6 min métro 14 Olympiades, métro 6. Toutes commodités très proches: Boulangerie, supermarché, pharmacie, médecin... Cinéma et bibliothèque universitaire.

Éligible APL. Garantie Visale bienvenue.
Possibilité de parking et de cave dans l'immeuble en supplément. Photos sur demande. Précisions, et détails par mail.

Plusieurs chambres disponibles immédiatement. Possibilité de location de courte durée.",| Porte d'Ivry| Porte de Choisy| Olympiades
Location Appartement,Chaville (92370),2.700 €,5 pièces 2 chambres 101 m²,"Rive Droite .
Superbe Appartement Neuf de 101.4 m2, 5 pièces, 2/3 chambres avec salle de bains - A proximité des gares rive droite et rive gauche, à deux pas des forêts Fausses Reposes et Meudon, des écoles et toutes commodités et lieux culturels, au cinquième étage sur cinq d'une nouvelle résidence de standing, au calme.

Ce superbe appartement lumineux de type 5 pièces offre de belles prestations. Il est composé comme suit : une entrée avec placards aménagés de 8,5m2, un beau double séjour de 38 m2, divisible pour créer une troisième chambre, donnant sur un balcon 3,7 m2 et sur une terrasse de 8m² offrant une vue dégagée, une cuisine 10 m2 aménagée et équipée avec un électroménager neuf, ouverte sur terrasse de34 m2, 2 chambres avec nombreux rangements dont une avec accès sur la grande terrasse (34 m2), l'autre sur un dressing pouvant servir de bureau. Chaque chambre a soit sur une salle de bains 5 m2, soit une salle d'eau 6,7 m2 avec WC. Un deuxième WC est accessible dans l'entrée.

Toutes les fenêtres sont équipées de volets roulants électriques. Toutes les pièces et dégagements ont un parquet en chêne.
En sous-sol, deux emplacements de parking contigus.
Ce bel ensemble rare sur le marché est disponible.
Loyer Hors Charges : 2550€ - Provision pour Charges : 150€ comprenant le chauffage privatif, eau froide et chaude. (Compteurs Divisionnaires). Agences s'abstenir",| Chaville - Rive Droite| Chaville - Rive Gauche| Chaville - Vélizy
Location Appartement,Poissy (78300),880 €,2 pièces 1 chambre 25 m²,"Télévision TNT, lave-linge, wifi, cuisinette-plaque, frigo, micro-ondes, éclairages, eaux chaude + froide, douche, chauffage collectif, wc, Lit 160, vaisselle.

Loyer : 790 euros (charges inclues).
Caution: 730 euros.
Charges inclues dans le loyer (dont chauffage et électricité) : 90 euros.
Frais de dossier : 120 euros.

En voiture : 3 min A14, 3 min centre ville, 2 min Carrefour Chambourcy
A pied : 1 min du bois de Saint Germain en Laye, 6 min à pied RER/gare/centre-ville.
Bail durée limitée.
Loyer charges intégralement comprises (matériel et tout abonnement inclus).
Éligible APL.
Disponible de suite.
Proche PSA Stellantis, CHU de POISSY Saint Germain en Laye


Single Studio completely furnished, all expenses included (hot water, electricity, radiator, hooven, Wifi..)
Closed to downtown and A14 motorway",| Poissy| Saint-Germain-en-Laye - Grande-Ceinture| Gare de Saint-Germain-en-Laye - Bel-Air - Fourqueux
Location Appartement,Drancy (93700),560 €,1 pièce 21 m²,"Studio non meublé, proche tous commerces (Monoprix, marché) et transports.
Rez-de-chaussée surélevé, dans petit immeuble de 6 appartements avec digicode et interphone.
Cuisine semi-équipée (standard).
Salle de bains avec élément haut et miroir.
Compteur d'eau individuel, eau chaude par ballon électrique.
Chauffage électrique par radiateurs individuels dernière génération.
Cave.
Sérieuses garanties demandées.

Une présentation par mail de votre situation est préconisée avant toute visite. Un dossier complet vous sera impératif lors de cette visite.
Libre le 01/10/2022.",| Jean Rostand| Bobigny - Pablo Picasso| Escadrille Normandie-Niémen
Location Appartement,Villemomble (93250),830 €,2 pièces 1 chambre 36 m²,"Dans un bel immeuble calme et sécurisé, appartement au 1er étage de type 2 pièces de 36 m2, comprenant :
Une entrée, un séjour, une cuisine indépendante équipée et aménagée, une salle d'eau, une chambre et un wc.
Appartement en très bon état avec double vitrage, chauffage et eau chaude individuel électrique.
Une cave.
Dépôt de garantie: 770€

Dossier de qualité demandé comprenant:
3 dernières fiches de paies
Contrat de travail
Pièce d'identité
Avis d'imposition",| Le Raincy-Villemomble-Montfermeil| Gagny| Allée de la Tour - Rendez-Vous
Location Appartement,Rueil-Malmaison (92500),1.800 €,3 pièces 2 chambres 78 m²,"Proche centre ville, bus et RER.
Dans résidence familiale de très haut standing de 2004 (Castellina Parc), 1er étage (avec ascenseur). 3 pièces ensoleillé de 78 m2 sans vis-à-vis, sud et ouest, parquet : entrée avec placards, séjour 27 m2, balcon 10 m2, 2 chambres (10,5 et 12 m2 avec placard), cuisine entièrement équipée (électroménager Siemens), salle de bains, salle d'eau. Cave. Place de parking.
Loyer : 1.650 E/mois + 150 E provision charges. Disponible fin Octobre 2022.
Merci de me contacter par WhatsApp ou par mail.",| Rueil-Malmaison| Chatou - Croissy| Nanterre - Ville
Location Appartement,Paris 14e (75014),1.340 €,2 pièces 1 chambre 25 m²,"L'appartement meublé et très bien équipé, refait à neuf est situé dans une maison indépendante dans la cour calme et tranquille, au rez-de-chaussée, claire et bien ensoleillé.
L'armoire-lit et canapé-lit en plus.
Cuisine indépendante est complétement équipée.

Métro et tous les commerces à 3 min à pied.
Visites sur rendez-vous.",| Plaisance| Pernety| Didot
Location Appartement,Boulogne-Billancourt (92100),1.850 €,3 pièces 1 chambre 52 m²,"Appartement en duplex plein de charme, refait à neuf, dans immeuble 1930 très bien entretenu.
1er étage très lumineux sur cour, sans vis à vis.
Double living de 27 m2 (parquet et moulures) avec 2 grandes fenêtres (double vitrage), exposition sud / Ouest.
Cuisine neuve séparée entièrement équipée avec de nombreux rangements, belle entrée et 1 toilette.
Chambre en rez-de-chaussée de 13 m2 avec une très belle hauteur sous plafond.
Grand dressing, salle d'eau avec douche à l'italienne, 1 toilette.
Situation géographique idéale.
Rue très calme.
Quartier Jean-Jaurès,
Tous commerces à proximité.
Métro Marcel Sembat à 4min
Location meublée : literie neuve, lave-vaisselle, lave-linge et TV écran plat (possibilité de venir avec vos meubles )
Disponible début septembre",| Marcel Sembat| Billancourt| Porte de Saint-Cloud (Parc des Princes)
Location Appartement,Levallois-Perret (92300),1.300 €,2 pièces 1 chambre 33 m²,"Joli appartement de 33 m2 situé à Levallois (à 5 min du Métro 3 Pont de Levallois, à 15 min de Paris Saint Lazare).

Disponible à partir du 01 mars 2023

Tout équipé (Wifi / Prise réseau Haut débit, Machine à laver).

Le logement est composé d'un salon avec une cuisine ouverte.
Un couloir mène ensuite à la salle de bains et à la chambre avec un bureau.
Nombreux commerces et restaurants à proximité et des transports facilement accessibles.

Loyer : 1.200 €/mois + 100 € forfaitaires de provision de charges et internet inclus (EDF et Eau non inclus).

Appartement pour 1 personne ou un couple sans enfants.

Une présentation par mail de votre situation personnelle est préconisée avant toute visite.",| Pont de Levallois - Bécon| Anatole France| Asnières-sur-Seine
Location Appartement,Boulogne-Billancourt (92100),950 €,1 pièce 35 m²,"Idéalement situé : Quartier très agréable avec tous commerces, bus, métro (Boulogne Jean-Jaurès, Pont de saint Cloud, ligne 10), proche salle des fêtes et parcs.
Au 3eme étage d'un immeuble de style de 4 niveaux, sans ascenseur.
Studio de 35m² (non meublé) lumineux et traversant constitué de :
Pièce principale, Cuisine 8m² (fermée), salle d'eau avec wc, dégagement avec rangement.
Chauffage électrique. Digicode.
Disponible de suite.
Visite en cours.
En dehors des heures de bureau",| Boulogne - Jean Jaurès| Boulogne - Pont de Saint-Cloud (Rhin et Danube)| Parc de Saint-Cloud
Location Appartement,Neuilly-sur-Marne (93330),980 €,2 pièces 1 chambre 42 m²,"Rez-de-chaussée surélevé.
Entrée avec placards, cuisine aménagée (frigidaire, lave linge, plaques vitrocéramiques, évier avec placards haut et bas, four, micro ondes), salle de bains avec baignoire, wc, porte blindée, double vitrage, chauffage par immeuble.
Lit, étagère pour les vêtements.
Parking et cave.

Garant demandé.
Loyer 860 €/mois + 120 € charges - chauffage compris.
Pour toute information, merci de nous contacter entre 12h30 et 14h ou 18h30 et 20h",| Neuilly-Plaisance| Bry-sur-Marne| Le Chénay Gagny
Location Appartement,Saint-Rémy-lès-Chevreuse (78470),920 €,2 pièces 1 chambre 75 m²,"Dans petite résidence de 7 logements, au calme, à plus de 10 min à pieds gare RER B terminus. F2 au rez-de-chaussée : cuisine et salle à manger avec carrelage au sol donnant sur petit jardin semi privé d'environ 25 m2 avec pelouse, grande chambre avec au sol parquet, salle de bains avec baignoire.

Loyer 750 €/mois + provision pour charges 170 € comprenant le chauffage collectif au gaz, eau froide, taxe des ordures ménagères, entretien des parties communes...
Jardin et espaces verts collectifs.
2 places de stationnements par logement dont une sous hangar et l'autre extérieur.
Libre de suite.",| Saint-Rémy-lès-Chevreuse| Courcelle-sur-Yvette| Gif-sur-Yvette
Location Maison,Cergy (95000),590 €,9 pièces 1 chambre 15 m² Terrain 60 m²,"Chambres en colocation dans maison individuelle dans cadre exceptionnel, faisant partie d'un Manoir.
Au cœur d'un écrin de verdure à deux pas de la Base de loisirs de Cergy face au port de plaisance.
Lieu calme et verdoyant proche des accès routiers et des transports en commun.

A propos des colocataires : Etudiants ou jeunes actifs, mixte.
Convivialité, échanges et entraide sont les valeurs de cette colocation.

A proximité : ⮚ Grandes écoles : ESSEC, EISTI, ISTOM, Université Cergy, IPSL et ENSEA etc …
⮚ Routes : A15, N184, A16
⮚ Transports : RER A, Ligne L Cergy préfecture et Neuville université, Ligne J Eragny Neuville bus à proximité n°48 et n°38
⮚ Magasins : A 900 m boulangerie, superette, pharmacie, bar et restaurant du port, centre commercial des 3 fontaines à 2.5km

A propos des chambres : Lit 140 x 190 + 1 parure de lit complète fournie
Bureau + lampe + poubelle + Prise internet (RJ45)
Armoire
Fauteuil
Chevet avec lampe
Porte manteau

Il reste uniquement :
Chambre meublée n°2 : 540 € + 50 € (charges) avec terrasse.
Chambre meublée n°7 : 590 € + 50 € (charges).

Vous avez besoin de vous investir dans votre premier emploi, votre stage ou vos études.
Vous cherchez des commerces et des transports en commun à proximité.
Vous recherchez pour une année ou plus, un logement meublé fonctionnel avec fibre optique, tout équipé sans vous soucier des démarches administratives concernant les souscriptions aux services d'électricité, de l'eau, d'internet…

Ce service tout inclus comprend l'eau, l'électricité, le chauffage, Internet Fibre Optique en wifi, le ménage des parties communes (1 fois par semaine) : cuisine, salles de bains, wc, séjour et couloirs, les équipements de cuisine, lave-linge, sèche-linge, Vous n'aurez plus qu'à poser vos valises.

Visite possible sur demande par WhatsApp ou sur site.
Photos supplémentaires sur demande.
Bail sans clause solidaire.
Contact par email dans un premier temps.
Merci de nous contacter par mail et nous décrivant votre parcours",| Cergy - Préfecture| Neuville - Université| Eragny - Neuville
Location Appartement,Pantin (93500),910 €,2 pièces 1 chambre 40 m²,"Meublé de 2 pièces de 40 m² situé à Pantin.
Proximité Porte de la Vilette, métro Hoche.

Appartement 2 pièces situé au 1er étage.
Entrée séjour, chambre, cuisine séparée, salle de douche avec wc.

Proche toutes commodités : commerces et Centre commercial, parc de la Villette et Transports (Tram, Bus, métro).

Libre immédiatement
Colocation possible
Eligible APL.
Visite possible immédiatement.",| Hoche| Delphine Seyrig| Butte du Chapeau Rouge
Location Appartement,Orsay (91400),970 €,2 pièces 1 chambre 43 m²,"2 Pièces de 43m², neuf, loué nu.
Au premier étage d'une petite copropriété totalement rénovée en 2022, dans un cadre arboré.
Cuisine équipée (four à pyrolyse, plaques à induction) ouverte sur le salon, salle de douche & wc suspendus, chambre. Nombreux rangements.
Proximité de commerces et de transports.
Parking.
Fibre optique disponible.
Chauffage & ballon eau chaude électriques.
Les charges comprennent : Eau, entretien de la résidence.",| Orsay - Ville| Bures-sur-Yvette| Le Guichet
Location Appartement,Villeparisis (77270),550 €,5 pièces 4 chambres 102 m²,"Nous vous proposons une superbe colocation (entièrement neuve) adressée aux jeunes actifs et étudiants pour se retrouver, échanger et/ou partager vos repas.

L'appartement se trouve dans une petite résidence au 1er étage avec ascenseur au palier, sur la place du marché et à 2 min à pied du RER B.

Emplacement idéal.

Très spacieux et lumineux, d'une superficie de 100m2 et est totalement refait à neuf avec de superbes finitions. Équipé de fenêtres double vitrage, l'appartement offre un calme et une tranquillité permanente, donc très agréable à vivre !

Il comprend :

- Une entrée
- Un double séjour : un espace repas et un espace détente avec une très grande SmartTV Samsung
- Une cuisine ouverte toute équipée (lave-vaisselle, machine à laver/sèche linge, four, hotte, plaque de cuisson, grand frigo avec congélateur, micro-ondes, machine à café, bouilloire...), avec tout le nécessaire (casseroles, poêles, assiettes, couverts...)
- Quatre chambres : chacune d'elle vous offrira un maximum d'intimité car elles peuvent être fermées à clé
- Deux salles de bains
- Deux wc
- Internet wifi.

- 3 chambres (surfaces comprises entre 11 et 13 m²) ont un loyer de 490€/mois + 60€ de charges/mois,
- 1 chambre VIP (surface de 20 m²) a un loyer de 590€/mois + 60€ de charges.

Chaque chambre ouvre aux aides aux logements (CAF).

Un parking couvert est également disponible !

Un service de nettoyage est mis en place pour les parties communes.

Donc colocation haut de gamme.

Vous n'avez plus qu'à déposer vos valises !

Les visites peuvent s'effectuer immédiatement.",| Villeparisis - Mitry-le-Neuf| Vert-Galant| Mitry - Claye
Location Appartement,Vaucresson (92420),1.250 €,2 pièces 1 chambre 49 m²,"Dans une résidence très calme entourée de verdure, appartement lumineux, exposition ouest au 5ème et dernier étage avec ascenseur.
Séjour, cuisine équipée avec loggia vitrée, 1 chambre avec balcon, 1 salle de bains avec baignoire, toilettes indépendantes, nombreux rangements.

Appartement très fonctionnel. Loyer 1120 €/mois + 130 € de charges de copropriété (chauffage et eau).

Cave - parking extérieur – local à vélos – gardien
En plein centre et près de la gare SNCF Transilien à 10 min de Paris La Défense, plusieurs lignes de bus.",
Location Appartement,Évry (91000),980 €,3 pièces 2 chambres 68 m²,"Grand appartement F3, 68 m², 2 chambres, entièrement rénové et bien entretenu. Quartier des Aunettes, en face du parc des Coquibus.

- Proche toutes commodités, bus, RER D Evry-Courcouronnes, Écoles, Universités, Évry 2.
- Cuisine récente entièrement équipée - Séjour spacieux avec grand balcon, entièrement équipé
- Salle de bains rénovée, et wc indépendant, cellier contenant tout le nécessaire
- Parking privatif au sous-sol, parking extérieur libre, local vélos/poussettes.
- Chauffage collectif au sol, eau froide et chaude inclus dans les charges.

Libre en Septembre 2022.

Pas sérieux s'abstenir.

Garant obligatoire.

Loyer toutes charges comprises.
Prix : 980 €/mois.
Contact par email. Présentation de votre situation demandée.",| Evry - Courcouronnes| Le Bras de Fer - Évry - Génopole| Evry
Location Appartement,Louveciennes (78430),650 €,1 pièce 23 m²,"Studio de 23 m2 en rez de jardin dans une maison bourgeoise avec une place de parking.
Libre de suite.

Entrée dans la pièce principale.
une cuisine au bout de la pièce principale
une salle de bains + wc
Lumineux avec exposition sud.

Les charges comprennent : le chauffage et la consommation de l'eau froide.

Situation du bien : se situe près de l'Aqueduc de Louveciennes.
Le village est à 350 mètres avec commerces de proximité.
La gare se situe à 950 mètres. ligne L Gare saint-Lazare. La ville propose des navettes.

Pour les prises de rendez-vous de visite, je demande un dossier complet.
Les rendez-vous de visites ont lieu en semaine ainsi que le samedi.",| Louveciennes| Marly-le-Roi| Bougival
Location Appartement,Le Perchay (95450),1.250 €,5 pièces 3 chambres 160 m²,"Disponible a partir du 1/11/2022

Dans le centre du Perchay, triplex de charme entièrement rénové depuis 2017 composé :

Au rez-de-chaussée :
- D'une entrée,

Au premier étage :
- D'un double salon/salle à manger avec mur de pierres apparentes,
- D'une cuisine ouverte sur la salle à manger, intégrée et équipée,
- De deux salles d'eau avec wc,
- D'une chambre/bureau,

Au deuxième étage :
- D'une chambre parentale mansardée avec poutres et pierres apparentes, et d'un dressing,
- D'une chambre mansardée avec pierres apparentes.

Pas d'extérieur.

Gare la plus proche : Santeuil le Perchay (1,8km) / Us (4km).
Situation : moins de 15 min de Cergy Pontoise
École primaire à 100m
Collège à 4km.",| Santeuil - Le Perchay| Us| Montgeroult - Courcelles
Location Appartement,Paris 16e (75116),1.775 €,2 pièces 1 chambre 52 m²,"Sublime appartement meublé à neuf.
- Grand T2 lumineux traversant situé dans un immeuble de charme très bien entretenu avec jardin.
- Vue dégagée sur les toits de Paris.
- Entièrement équipé.
- Se compose : entrée avec wc + salon avec Télé 55 pouces et canapé convertible + table repas avec chaises + cuisine neuve séparée + grande chambre à coucher avec sa salle de bain.

- Situé à 3min à pied du métro Exelmans, proche de toutes commodités.
- Dernier étage avec ascenseur.
- Gardienne disponible.",| Porte de Saint-Cloud (Parc des Princes)| Exelmans| Michel-Ange - Molitor
Location Appartement,Paris 11e (75011),1.270 €,1 pièce 31 m²,"Paris 11ème. Au 12ème étage, studio meublé 31 m² surface habitable refait à neuf avec balcon : entrée, dressing, salle de bains baignoire avec wc, machine à laver le linge, cuisine équipée (réfrigérateur, cuisinière avec four, four micro-ondes, machine à laver la vaisselle), séparée avec fenêtre, lumineux et sans vis-à-vis.
Compris dans les charges : le téléphone fixe, Internet, wifi Télévision avec de nombreuses chaines de TV, eau chaude et chauffage immeuble, électricité et gaz.
Libre Immédiatement.",| Rue des Boulets| Alexandre Dumas| Charonne
Location Appartement,Pierrefitte-sur-Seine (93380),600 €,1 pièce 1 chambre 25 m²,"Dans sa maison

Bail étudiant (9 mois)
1 chambre meublée, 1 cuisine et salle d eau.
Proche Paris 7kms - R E R - Tramway - Université Sorbonne.",
Location Appartement,Paris 18e (75018),1.431 €,2 pièces 1 chambre 22 m²,"Butte Montmartre.

A 2 pas du café d'Amélie Poulain et de la rue des Abbesses.
Au pied du Moulin de la Galette.

Dans un site classé. 2 pièces - 1er étage. Préservé des bruits.
Entièrement refait à neuf, rénovation de standing et de bon goût.

Optimisation des espaces, pas de place de perdue, tout à été pensé !!

- Parquet, isolation intérieure, plancher chauffant individuel,
3 fenêtres isolantes Oscillo-battantes avec stores électriques.
Porte blindée.
- Salon équipé d'un canapé convertible,
- Salle à manger agrémentée d'une table avec chaises.
- Cuisine équipée d'électroménagers haut de gamme (le tout neuf) : frigo intégrable A++, congélateur intégrable A+, plaques induction, micro-ondes + grill, four pyrolyse A+, hotte groupe filtrant, lave-linge intégrable A+, lave vaisselle intégrable A+, rangements.
Vaisselle + ustensiles,
- Salle d'eau douche italienne, wc suspendus, vmc. Porte à galandage.
- Chambre avec rangements, lit coffre de 160 x 200, literie neuve + parure de linge. Porte à galandage.

Très clair - soleil - calme - 2 digicodes - gardien.
22,23 m² loi carrez.


Bail résidence secondaire : (2 mois de Dépôt de Garantie, 3 mois de Préavis, pas d'apl.)

Loyer : 1400,89 € + charges 30 €",| Abbesses| Lamarck - Caulaincourt| Blanche
Location Appartement,La Garenne-Colombes (92250),1.560 €,3 pièces 2 chambres 73 m²,"Location vide 3 pièces 73 m² au 5ème étage avec ascenseur, dans immeuble à proximité de tous les moyens de transport : Bus N°176 au pied de l'immeuble, Tram T2 à 3min à pied, Train direct St-Lazare, RER. A 10min à pied de La Défense. Orientation Est-Ouest (traversant). Sols avec parquet et carrelage.

Entrée avec avec 2 grands placards
Séjour très lumineux de 29 m², 2 portes fenêtres avec chacune un petit balcon

Première chambre de 10 m² avec un grand placard intégré
Seconde chambre 13 m²,
Cuisine séparée équipée (lave vaisselle, plaque vitrocéramique, four encastré, réfrigérateur/congélateur)
Salle de bains avec vasque, baignoire et wc
Stores électriques télécommandés
Fibre optique installée.
Eau chaude avec ballon électrique individuel et chauffage collectif.
Petite cave en sous-sol 5 m2.
Local à vélo fermé.

Disponible de suite.
Loyer : 1.380 €/mois + 180 € charges (comprend chauffage collectif inclus).
Conditions de revenus minimum 4000 € par mois. Garanties demandées.

Premier contact par e-mail.",| Les Fauvelles| Charlebourg| Courbevoie
