"address","location/lat","location/lng","name","numberOfGuests","pricing/nights","pricing/rate/amount","pricing/rate/amountFormatted","pricing/rate/currency","pricing/rate/isMicrosAccuracy","pricing/rateType","pricing/totalPrice/accommodation","pricing/totalPrice/amount","pricing/totalPrice/amountFormatted","pricing/totalPrice/cleaningFee","pricing/totalPrice/currency","pricing/totalPrice/guestFee","roomType","stars","url"
"Paris, Île-de-France, France","48.869","2.292","★ Superbe Chambre Exécutive avec Balcon","2","1","432","$432","USD","false","nightly","432","432","$432",,"USD","0","Room in boutique hotel","5","https://www.airbnb.com/rooms/45669035"
"Paris, Île-de-France, France","48.86933","2.32716","Discover Paris in Music with Friends or Family","2","1","307","$307","USD","false","nightly","307","307","$307",,"USD","0","Room in hotel",,"https://www.airbnb.com/rooms/34492524"
"Ville-d'Avray, Île-de-France, France","48.82817","2.19762","Havre de paix entre Paris et Versailles","2","1","312","$312","USD","false","nightly","248","312","$312","25","USD","39","Private room in home","5","https://www.airbnb.com/rooms/16304771"
"Paris, France","48.853","2.344","Chambre Tradition balcon","2","1","371","$371","USD","false","nightly","371","371","$371",,"USD",,"Room in boutique hotel","5","https://www.airbnb.com/rooms/35242483"
"Paris, Île-de-France, France","48.879","2.296","Single room next to the Champs-Elysées","1","1","380","$380","USD","false","nightly","380","380","$380",,"USD","0","Room in boutique hotel",,"https://www.airbnb.com/rooms/46861974"
"., Paris, France","48.835","2.33","Spacious colonial style room in Montparnasse","2","1","344","$344","USD","false","nightly","344","344","$344",,"USD",,"Room in boutique hotel","4.5","https://www.airbnb.com/rooms/23516150"
"Paris, Île-de-France Region, France","48.874","2.344","Beautiful Room near to Grands Boulevards","2","1","386","$386","USD","false","nightly","386","386","$386",,"USD",,"Room in boutique hotel","5","https://www.airbnb.com/rooms/27078888"
"Paris, Île-de-France Region, France","48.869","2.292","★ Superbe Chambre Supérieure","2","1","400","$400","USD","false","nightly","400","400","$400",,"USD",,"Room in boutique hotel","5","https://www.airbnb.com/rooms/31369899"
"Paris, Île-de-France, France","48.875","2.341","Grands Boulevards - Opéra 31: cosy apt. for 2","2","1","267","$267","USD","false","nightly","247","267","$267","20","USD","0","Entire rental unit","4.5","https://www.airbnb.com/rooms/36590318"
"Paris, Île-de-France, France","48.87287","2.32305","GRANDE CHAMBRE AVEC BALCON PROCHE DE L'OPERA","2","1","425","$425","USD","false","nightly","425","425","$425",,"USD",,"Room in boutique hotel",,"https://www.airbnb.com/rooms/35896959"
"Paris, Île-de-France, France","48.858","2.35","★ Superbe Chambre Double Deluxe","2","1","286","$286","USD","false","nightly","286","286","$286",,"USD","0","Room in boutique hotel","4.5","https://www.airbnb.com/rooms/46275386"
"Paris, Île-de-France, France","48.858","2.35","Hôtel de Ville - Marais 1: cosy apartment for 2","2","1","293","$293","USD","false","nightly","273","293","$293","20","USD","0","Entire rental unit","4","https://www.airbnb.com/rooms/16542319"
"Paris, Île-de-France, France","48.875","2.329","Duplex Apartment (3 People) in the Heart of Paris","3","1","409","$409","USD","false","nightly","409","409","$409",,"USD","0","Room in aparthotel","4.5","https://www.airbnb.com/rooms/48343072"
